Sample	V1
CN1	0.16288946435873
CN2	0.160479940007499
CT1	0.236442915463283
CT2	0.156639064747676
EN1	0.422322480482867
EN2	0.269335576114382
EN3	0.236562524592744
ET1	0.364015201098721
ET2	0.402740497419052
ET3	0.362805969848131
LB6	0.0133730451320652
LN1	0.576846548477174
LN2	0.525295372753739
LN3	0.385315233947636
LN4	0.362231835611051
LN5	0.388474069591801
LN6	0.376168648235687
LT1	0.441959729992632
LT2	0.447416525238004
LT3	0.379759824074142
LT4	0.266894585973533
LT5	0.261512800118402
LT6	0.309853452073614
RB1	0.393973874885192
RB2	0.586211537191929
RB3	0.28545261854638
RN1	0.339884124578301
RN2	0.227738984518783
RN3	0.282763866658963
RT1	0.606263274540585
RT2	0.658719126869186
RT3	0.327623179732695
