Cluster	Marker	Method	Stats
4.6b-Treg	HLA-A	RankProduct	125.11
4.6b-Treg	IL2RG	RankProduct	113.38
3.1-MT	RNR2	RankProduct	46.25
3.1-MT	RNR1	RankProduct	30.89
3.1-MT	MTRNR2L2	RankProduct	27.21
3.1-MT	ND2	RankProduct	15.08
3.1-MT	ND3	RankProduct	-0.88
3.1-MT	ND4L	RankProduct	-4.97
3.1-MT	ND4	RankProduct	6.81
3.1-MT	MTRNR2L8	RankProduct	19.04
3.1-MT	ATP8	RankProduct	-6.6
3.1-MT	ATP6	RankProduct	-8.71
3.1-MT	CYTB	RankProduct	1.74
3.1-MT	ND1	RankProduct	4.22
3.1-MT	COX3	RankProduct	-10.05
3.1-MT	COX1	RankProduct	-22.34
3.1-MT	GZMK	RankProduct	7.75
3.1-MT	MS4A1	RankProduct	5.08
3.1-MT	ND5	RankProduct	3.17
3.1-MT	RNA45S5	RankProduct	4.68
3.1-MT	MALAT1	RankProduct	-32.21
3.1-MT	COX2	RankProduct	-44.88
