Cluster	CD3E	CD3D	CD3G	CD14	CD68	Cluster_Size	Clonotype_Pct	km_cluster	is_selected
c1	3.10041938490241	2.36882572227419	0.722506989748368	0.00465983224603914	0.0110282696489593	12876	0.842652997825412	2	TRUE
c2	2.19356099085719	1.15831835586469	0.441666015472355	0.00429788231616785	0.014300226615613	12797	0.66976635148863	2	TRUE
c3	2.08500717360105	1.34657460545187	0.48152797704445	0.190638450502153	0.160509325681494	11152	0.55640243902439	2	TRUE
c4	2.13109866281184	1.24015178894117	0.452656306469123	0.0254788579689194	0.0316226960607156	11068	0.613118901337188	2	TRUE
c5	2.66322925618256	1.97202329800428	0.717845889429971	0.00572901747350329	0.00954836245583881	10473	0.657309271459945	2	TRUE
c6	0.178159218703757	0.112656604518103	0.0410377823813753	1.46591693795003	1.24514156061948	10137	0.0602742428726448	1	FALSE
c7	2.95683168316797	1.62316831683168	0.654752475247525	0.00287128712871287	0.00702970297029703	10100	0.690594059405941	2	TRUE
c8	2.34280657922124	1.62179887570259	0.615448677909644	0.00853633145950448	0.0114511763481158	9606	0.531334582552571	2	TRUE
c9	2.18887362637387	1.226304945055	0.443795787545786	0.00526556776556776	0.0108745421245421	8736	0.672847985347985	2	TRUE
c10	2.51684587813621	1.55925925925929	0.548984468339343	0.00489844683393071	0.00884109916367981	8370	0.732497013142174	2	TRUE
c11	3.37092457420927	2.39124087591247	0.952068126520722	0.00450121654501217	0.0130170316301703	8220	0.737591240875912	2	TRUE
c12	0.319447961509246	0.200557103064069	0.0740693846543435	0.0127880476069891	0.0925550772347441	7898	0.109014940491264	1	FALSE
c13	2.05878125898237	1.28945099166421	0.491376832423113	0.0790457027881577	0.0810577752227654	6958	0.455878125898247	2	TRUE
c14	0.870578231292503	0.515476190476189	0.216156462585036	0.257653061224491	0.301190476190478	5880	0.18469387755102	1	FALSE
c15	0.0573844216585717	0.0491095520777118	0.0176290699766145	0.796546141392361	2.97463572584998	5559	0.0305810397553517	1	FALSE
c16	2.17779783393505	1.27888086642601	0.523285198555963	0.076173285198556	0.0559566787003611	5540	0.496028880866426	2	TRUE
c17	2.57728187305662	2.0182915675874	0.794402780318292	0.00347539784159503	0.00713371135906347	5467	0.563197366014267	2	TRUE
c18	0.0447926267281107	0.0328110599078341	0.0140092165898618	1.43428571428567	2.15023041474647	5425	0.0270967741935484	1	FALSE
c19	0.328211189913313	0.240543735224587	0.0784081954294721	0.887706855791943	1.3812056737588	5076	0.14558707643814	1	FALSE
c20	1.81540342298291	1.09413202933984	0.425427872860627	0.253056234718826	0.256927465362672	4908	0.453137734311328	2	TRUE
c21	0.254429336629583	0.155129789864029	0.0492377420683971	0.00494437577255871	0.0603625875566541	4854	0.105274000824063	1	FALSE
c22	1.60157309465685	1.08543531326282	0.350149172769193	0.173854081909412	0.228369948467589	3687	0.524274477895308	2	TRUE
c23	3.01485148514854	1.65775577557754	0.676897689768981	0.00495049504950495	0.00891089108910891	3030	0.668646864686469	2	TRUE
c24	2.34895833333333	1.21242559523811	0.497395833333342	0.00520833333333333	0.0122767857142857	2688	0.582217261904762	2	TRUE
c25	1.83965584669537	0.960891669925709	0.366445052796244	0.00391083300743058	0.0230739147438404	2557	0.543214704732108	2	TRUE
c26	2.66132830899672	2.09467734338202	0.739048516250594	0.012246820536976	0.018370230805464	2123	0.390485162505888	2	TRUE
c27	1.57438423645319	0.999014778325126	0.371921182266007	0.314285714285714	0.472906403940886	2030	0.494581280788177	2	TRUE
c28	1.68736842105265	1.1363157894737	0.368421052631581	0.242631578947368	0.252105263157894	1900	0.519473684210526	2	TRUE
c29	2.30201698513799	1.50053078556263	0.606157112526544	0.00743099787685775	0.0106157112526539	1884	0.516985138004246	2	TRUE
c30	2.69683509161577	1.9305941143809	0.675735702387562	0.202109938922821	0.194891726818434	1801	0.57023875624653	2	TRUE
c31	0.440151515151515	0.337878787878788	0.0984848484848486	0.0151515151515151	0.0674242424242424	1320	0.168939393939394	1	FALSE
c32	3.00856697819311	2.96495327102801	0.989875389408087	0.014797507788162	0.0264797507788162	1284	0.799844236760125	2	TRUE
c33	2.68906882591094	1.5740890688259	0.611336032388663	0.0105263157894737	0.0210526315789474	1235	0.676113360323887	2	TRUE
c34	0.0602739726027397	0.0182648401826484	0.00639269406392694	1.44566210045663	2.14429223744294	1095	0.0228310502283105	1	FALSE
c35	3.54013220018888	2.21813031161472	0.917847025495745	0.00755429650613786	0.00944287063267234	1059	0.67233238904627	2	TRUE
c36	1.17846153846154	0.953846153846157	0.246153846153847	0.00512820512820513	0.607179487179488	975	0.396923076923077	2	TRUE
c37	0.132867132867133	0.0699300699300699	0.0314685314685315	2.05944055944057	2.92890442890442	858	0.0594405594405594	1	FALSE
