Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Natural killer cell mediated cytotoxicity	24/131	5.11827690461119e-19	1.19255851877441e-16	0	0	15.1432806961005	637.778936525573	FCER1G;KLRC2;KLRC3;ITGB2;ICAM2;PRF1;KIR2DS5;SH2D1B;HLA-C;GZMB;HLA-A;KIR3DL2;NCR1;ZAP70;FCGR3A;NCR3;TYROBP;KLRK1;RAC2;MAPK1;KLRD1;KLRC1;CD247;HCST
Regulation of actin cytoskeleton	23/218	6.44274990614762e-13	7.50580364066198e-11	0	0	7.90013217023526	221.761851076017	ITGB1;ACTR3;ITGAM;PXN;ITGB2;ARPC5L;MSN;ACTB;MYL12A;RHOA;PPP1CA;ACTG1;MRAS;ARPC2;PDGFD;TMSB4X;CFL1;RAC2;ITGAX;MAPK1;ITGB7;PFN1;VCL
Antigen processing and presentation	15/78	1.11435748126505e-12	8.65484310449189e-11	0	0	15.6258958432871	430.067517425593	PDIA3;KLRC2;KLRC3;KLRC4;KIR2DS5;HLA-C;HLA-A;KIR3DL2;KIR2DL4;PSME1;PSME2;KLRD1;KLRC1;CALR;B2M
Leukocyte transendothelial migration	15/114	3.19984312344767e-10	1.86390861940827e-08	0	0	9.92550927333536	216.998919381874	ITGB1;ITGAM;TXK;PXN;ITGB2;MSN;CYBA;ACTB;MYL12A;RHOA;ACTG1;RAP1B;RAC2;VCL;CD99
Diabetic cardiomyopathy	18/203	3.70896130106516e-09	1.72837596629637e-07	0	0	6.41011687363039	124.436483373333	G6PD;NDUFB7;NDUFA12;ATP8;ATP6;NDUFB2;ND4L;CYBA;PPP1CA;COX3;RAC2;COX2;COX1;CYTB;ND3;CTSD;ND5;ND4
Prion disease	19/273	7.05426862829436e-08	2.73940765065431e-06	0	0	4.92737221406646	81.1392739309911	NDUFB7;NDUFA12;ATP8;ATP6;NDUFB2;ND4L;CYBA;CCL5;COX3;RAC2;COX2;MAPK1;COX1;NCAM1;CYTB;ND3;PRKACB;ND5;ND4
Oxidative phosphorylation	13/133	1.81624977108424e-07	6.04551709518039e-06	0	0	7.04202657807309	109.301560931807	NDUFB7;NDUFA12;ATP8;ATP6;NDUFB2;ND4L;COX3;COX2;COX1;CYTB;ND3;ND5;ND4
Human cytomegalovirus infection	16/225	5.80142319365604e-07	1.68966450515232e-05	0	0	5.0035644327414	71.8511471534729	PDIA3;PXN;HLA-C;HLA-A;RHOA;GNG2;CCL5;CXCR2;RAC2;CCL3;MAPK1;CALR;CALM1;B2M;PRKACB;JAK1
Focal adhesion	15/201	7.12344587097078e-07	1.84418098659577e-05	0	0	5.25946704067321	74.4461995370012	ITGB1;PXN;ACTB;MYL12A;RHOA;PPP1CA;ACTG1;RAP1B;CCND3;PDGFD;RAC2;FLNA;MAPK1;ITGB7;VCL
Thermogenesis	16/232	8.72742727343834e-07	2.03349055471113e-05	0	0	4.83967188665175	67.5212874019091	NDUFB7;NDUFA12;ATP8;ATP6;NDUFB2;ND4L;ACTB;ACTG1;COX3;COX2;COX1;CYTB;ND3;PRKACB;ND5;ND4
Chemokine signaling pathway	14/192	2.20511174621906e-06	4.2896290772802e-05	0	0	5.11445692883895	66.6144327251855	CX3CR1;PXN;RHOA;RAP1B;FGR;GNG2;CCL5;CXCR2;RAC2;XCL2;CCL3;XCL1;MAPK1;PRKACB
Parkinson disease	16/249	2.20925102692542e-06	4.2896290772802e-05	0	0	4.48264538986664	58.376849901646	XBP1;NDUFB7;NDUFA12;ATP8;ATP6;NDUFB2;ND4L;COX3;COX2;COX1;CYTB;CALM1;ND3;PRKACB;ND5;ND4
Bacterial invasion of epithelial cells	9/77	3.26877607028103e-06	5.75365254489569e-05	0	0	8.51311475409836	107.529960639249	ITGB1;ACTR3;ARPC2;PXN;ARPC5L;ACTB;RHOA;VCL;ACTG1
Graft-versus-host disease	7/42	3.70252889212573e-06	5.75365254489569e-05	0	0	12.8019543973941	160.107572099274	PRF1;GZMB;HLA-C;KLRD1;KLRC1;HLA-A;KIR3DL2
Viral protein interaction with cytokine and cytokine receptor	10/100	3.91872785703045e-06	5.75365254489569e-05	0	0	7.16228070175439	89.1685574907973	CX3CR1;IL18RAP;CSF1;CCL5;CXCR2;IL2RB;XCL2;CCL3;XCL1;IL2RG
Cell adhesion molecules	12/148	3.95100603941335e-06	5.75365254489569e-05	0	0	5.71192052980132	71.0650895644939	ITGB1;SPN;ITGAM;SELPLG;SELL;ITGB2;ICAM2;HLA-C;ITGB7;NCAM1;HLA-A;CD99
Rap1 signaling pathway	14/210	6.26703824104689e-06	8.58952888331721e-05	0	0	4.64047619047619	55.5938638776598	ITGB1;ITGAM;CSF1;ITGB2;ACTB;RHOA;ACTG1;RAP1B;MRAS;PDGFD;RAC2;MAPK1;PFN1;CALM1
Human immunodeficiency virus 1 infection	14/212	6.98820733969256e-06	9.04584616749093e-05	0	0	4.59313131313131	54.5263777287718	PDIA3;APOBEC3G;PXN;HLA-C;HLA-A;BST2;GNG2;CFL1;RAC2;MAPK1;CALR;CD247;CALM1;B2M
Yersinia infection	11/137	1.09694209146692e-05	0.000134519740690418	0	0	5.63570642778564	64.3620164644791	ITGB1;ACTR3;ZAP70;ARPC2;PXN;ARPC5L;RAC2;MAPK1;ACTB;RHOA;ACTG1
Tight junction	12/169	1.5359846785551e-05	0.000178942215051669	0	0	4.94259079596744	54.7824595423185	ITGB1;ACTR3;SLC9A3R1;MYL6;ARPC2;ARPC5L;MSN;PRKACB;ACTB;MYL12A;RHOA;ACTG1
Pertussis	8/76	2.5205965241344e-05	0.000279666185773007	0	0	7.54248366013072	79.8630593226502	ITGB1;ITGAM;IRF1;ITGB2;CFL1;MAPK1;CALM1;RHOA
Platelet activation	10/124	2.65255358003188e-05	0.000280929538248831	0	0	5.64750692520776	59.5100545742408	RAP1B;ITGB1;FCER1G;MAPK1;PRKACB;ACTB;MYL12A;RHOA;ACTG1;PPP1CA
Tuberculosis	12/180	2.87968589837761e-05	0.000282776816985436	0	0	4.61636707663198	48.2652452869136	FCGR3A;ITGAM;FCER1G;ITGB2;ITGAX;MAPK1;LSP1;CALM1;CORO1A;CTSD;RHOA;JAK1
