Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Human papillomavirus infection	6/331	0.154288098913315	0.294156749330058	1.69436865021771	3.16666258948731	HLA-C;HLA-A;PTGER4;TNF;FASLG;PKM	107	KEGG_2021_Human
Relaxin signaling pathway	3/129	0.166707614841215	0.31489216136674	2.17674418604651	3.89966727091745	GNG2;GNG5;NFKBIA	108	KEGG_2021_Human
FoxO signaling pathway	3/131	0.172041371731534	0.321680977910129	2.14251453488372	3.77086906966113	GADD45B;FASLG;SOD2	109	KEGG_2021_Human
Adipocytokine signaling pathway	2/69	0.173455429265266	0.321680977910129	2.72457158651188	4.77299878752669	NFKBIA;TNF	110	KEGG_2021_Human
Vascular smooth muscle contraction	3/133	0.177423407138937	0.326075450958046	2.10933810375671	3.64750177273506	MYL6;RHOA;ADM	111	KEGG_2021_Human
Adherens junction	2/71	0.181258428726118	0.327634637076188	2.64533011272142	4.51777804946555	RHOA;ACTB	112	KEGG_2021_Human
Diabetic cardiomyopathy	4/203	0.181483892105928	0.327634637076188	1.83938383506317	3.13907107549558	CTSD;CYBB;SLC25A5;GAPDH	113	KEGG_2021_Human
Apelin signaling pathway	3/137	0.188323902393508	0.337000667441014	2.0459562651857	3.41591203581939	GNG2;GNG5;EGR1	114	KEGG_2021_Human
Chronic myeloid leukemia	2/76	0.200978411342174	0.356518225337421	2.46596596596597	3.95678488317895	NFKBIA;GADD45B	115	KEGG_2021_Human
Alzheimer disease	6/369	0.21602505356418	0.379906128681833	1.5140339934508	2.32004647663635	IL1B;CSF1;TNF;CYBB;SLC25A5;GAPDH	116	KEGG_2021_Human
Phospholipase D signaling pathway	3/148	0.219117592472151	0.38205118687452	1.88968724939856	2.86882253983582	RHOA;CXCL8;FCER1G	117	KEGG_2021_Human
Protein export	1/23	0.222923000573747	0.382153715269281	4.13908671973188	6.21247469535929	HSPA5	118	KEGG_2021_Human
Proximal tubule bicarbonate reclamation	1/23	0.222923000573747	0.382153715269281	4.13908671973188	6.21247469535929	GLUD1	118	KEGG_2021_Human
Oxytocin signaling pathway	3/154	0.236329850075569	0.398440408391868	1.81404589557986	2.61680978447966	MYL6;ACTB;RHOA	120	KEGG_2021_Human
mTOR signaling pathway	3/154	0.236329850075569	0.398440408391868	1.81404589557986	2.61680978447966	TNF;RHOA;SLC7A5	120	KEGG_2021_Human
Colorectal cancer	2/86	0.241038075743193	0.403047274193537	2.1712962962963	3.08932116796356	RHOA;GADD45B	122	KEGG_2021_Human
Hypertrophic cardiomyopathy	2/90	0.257184090969846	0.426549224047549	2.07218013468013	2.81394424904322	TNF;ACTB	123	KEGG_2021_Human
Morphine addiction	2/91	0.261224566556597	0.429756544980209	2.04879317519767	2.75024839709514	GNG2;GNG5	124	KEGG_2021_Human
Small cell lung cancer	2/92	0.265265612650447	0.432913479845529	2.02592592592593	2.68845160284582	NFKBIA;GADD45B	125	KEGG_2021_Human
GnRH signaling pathway	2/93	0.269306739046466	0.436020434646659	2.00356125356125	2.62848053403773	EGR1;MAP2K3	126	KEGG_2021_Human
Hepatocellular carcinoma	3/168	0.277288581429995	0.440726997623419	1.65894291754757	2.1279202821434	ACTB;GADD45B;GSTP1	127	KEGG_2021_Human
Glyoxylate and dicarboxylate metabolism	1/30	0.28038226526438	0.440726997623419	3.13888447481328	3.99140981040086	GLUL	128	KEGG_2021_Human
Dilated cardiomyopathy	2/96	0.281425854811651	0.440726997623419	1.93932230102443	2.45884009783366	TNF;ACTB	129	KEGG_2021_Human
Circadian entrainment	2/97	0.285462608277628	0.440726997623419	1.91881091617934	2.40550622915155	GNG2;GNG5	130	KEGG_2021_Human
Prostate cancer	2/97	0.285462608277628	0.440726997623419	1.91881091617934	2.40550622915155	NFKBIA;GSTP1	130	KEGG_2021_Human
Protein processing in endoplasmic reticulum	3/171	0.28616679737422	0.440726997623419	1.62906976744186	2.0382602130395	PPP1R15A;HSPA5;CALR	132	KEGG_2021_Human
Circadian rhythm	1/31	0.288237881998098	0.440726997623419	3.03410138248848	3.77432855000772	BHLHE40	133	KEGG_2021_Human
Aldosterone synthesis and secretion	2/98	0.289497145497736	0.440726997623419	1.89872685185185	2.35368049307045	NR4A2;NR4A1	134	KEGG_2021_Human
Nicotinate and nicotinamide metabolism	1/35	0.318815876015173	0.48176621264515	2.6766061263215	3.05973963318706	NAMPT	135	KEGG_2021_Human
Glucagon signaling pathway	2/107	0.325640448962391	0.487280197288946	1.73518518518519	1.94681084052718	PGAM1;PKM	136	KEGG_2021_Human
Drug metabolism	2/108	0.329630721695463	0.487280197288946	1.71872816212439	1.90741405203975	TYMP;GSTP1	137	KEGG_2021_Human
Insulin resistance	2/108	0.329630721695463	0.487280197288946	1.71872816212439	1.90741405203975	TNF;NFKBIA	137	KEGG_2021_Human
Thyroid cancer	1/37	0.333610875657074	0.489615961395993	2.52764976958525	2.77480338462641	GADD45B	139	KEGG_2021_Human
Primary immunodeficiency	1/38	0.340887979754993	0.496722484785846	2.45921036243617	2.64660553851178	CD8A	140	KEGG_2021_Human
Cholinergic synapse	2/113	0.349478924003688	0.50206831335741	1.64089089089089	1.72508832105083	GNG2;GNG5	141	KEGG_2021_Human
Serotonergic synapse	2/113	0.349478924003688	0.50206831335741	1.64089089089089	1.72508832105083	GNG2;GNG5	141	KEGG_2021_Human
Glycine, serine and threonine metabolism	1/40	0.355205723326791	0.506727045864792	2.3328606876994	2.41464647933901	PGAM1	143	KEGG_2021_Human
Amyotrophic lateral sclerosis	5/364	0.364712801176603	0.516676468333522	1.27002497809513	1.28100444717839	PFN1;ACTB;TNF;MAP2K3;HSPA5	144	KEGG_2021_Human
Thyroid hormone signaling pathway	2/121	0.380804644276051	0.535752740912513	1.52995642701525	1.47712516509899	ACTB;HIF1A	145	KEGG_2021_Human
Proteasome	1/46	0.396327721308533	0.553772980458498	2.02119815668203	1.87064684904012	IFNG	146	KEGG_2021_Human
