seurat_clusters	Sample	.n	.frac
c1	CN1	187	0.0117241379310345
c1	CN2	58	0.00363636363636364
c1	CT1	261	0.0163636363636364
c1	CT2	83	0.00520376175548589
c1	EN1	919	0.0576175548589342
c1	EN2	164	0.010282131661442
c1	EN3	37	0.00231974921630094
c1	ET1	1316	0.0825078369905956
c1	ET2	763	0.0478369905956113
c1	ET3	578	0.0362382445141066
c1	LB6	182	0.01141065830721
c1	LN1	644	0.0403761755485893
c1	LN2	745	0.0467084639498433
c1	LN3	969	0.0607523510971787
c1	LN4	692	0.0433855799373041
c1	LN5	434	0.0272100313479624
c1	LN6	804	0.0504075235109718
c1	LT1	556	0.034858934169279
c1	LT2	675	0.0423197492163009
c1	LT3	658	0.0412539184952978
c1	LT4	918	0.0575548589341693
c1	LT5	308	0.0193103448275862
c1	LT6	263	0.0164890282131661
c1	RB1	256	0.0160501567398119
c1	RB2	490	0.0307210031347962
c1	RB3	242	0.0151724137931034
c1	RN1	536	0.0336050156739812
c1	RN2	511	0.0320376175548589
c1	RN3	210	0.013166144200627
c1	RT1	599	0.0375548589341693
c1	RT2	702	0.044012539184953
c1	RT3	190	0.0119122257053292
c2	CN1	265	0.0243297833272126
c2	CN2	39	0.00358060962174073
c2	CT1	344	0.0315828130738156
c2	CT2	100	0.00918105031215571
c2	EN1	385	0.0353470437017995
c2	EN2	89	0.00817113477781858
c2	EN3	20	0.00183621006243114
c2	ET1	728	0.0668380462724936
c2	ET2	429	0.039386705839148
c2	ET3	357	0.0327763496143959
c2	LB6	413	0.0379177377892031
c2	LN1	294	0.0269922879177378
c2	LN2	291	0.0267168564083731
c2	LN3	800	0.0734484024972457
c2	LN4	310	0.0284612559676827
c2	LN5	334	0.0306647080426001
c2	LN6	555	0.0509548292324642
c2	LT1	533	0.0489349981637899
c2	LT2	585	0.0537091443261109
c2	LT3	455	0.0417737789203085
c2	LT4	543	0.0498531031950055
c2	LT5	471	0.0432427469702534
c2	LT6	328	0.0301138450238707
c2	RB1	56	0.0051413881748072
c2	RB2	123	0.0112926918839515
c2	RB3	211	0.0193720161586485
c2	RN1	318	0.0291957399926552
c2	RN2	718	0.065919941241278
c2	RN3	265	0.0243297833272126
c2	RT1	110	0.0100991553433713
c2	RT2	131	0.012027175908924
c2	RT3	292	0.0268086669114947
c3	CN1	142	0.0132314573238912
c3	CN2	29	0.00270219903093552
c3	CT1	171	0.0159336563548267
c3	CT2	41	0.00382035035408125
c3	EN1	369	0.0343831531867313
c3	EN2	158	0.0147223257547521
c3	EN3	25	0.00232948192322028
c3	ET1	408	0.0380171449869549
c3	ET2	512	0.0477077897875512
c3	ET3	359	0.0334513604174432
c3	LB6	44	0.00409988818486769
c3	LN1	738	0.0687663063734625
c3	LN2	765	0.0712821468505404
c3	LN3	795	0.0740775251584048
c3	LN4	370	0.0344763324636601
c3	LN5	597	0.0556280283265002
c3	LN6	309	0.0287923965710026
c3	LT1	162	0.0150950428624674
c3	LT2	417	0.0388557584793142
c3	LT3	616	0.0573984345881476
c3	LT4	364	0.0339172568020872
c3	LT5	144	0.0134178158777488
c3	LT6	117	0.0109019754006709
c3	RB1	378	0.0352217666790906
c3	RB2	287	0.0267424524785688
c3	RB3	388	0.0361535594483787
c3	RN1	466	0.0434215430488259
c3	RN2	133	0.0123928438315319
c3	RN3	112	0.0104360790160268
c3	RT1	725	0.067554975773388
c3	RT2	402	0.037458069325382
c3	RT3	189	0.0176108833395453
c4	CN1	124	0.011659614480489
c4	CN2	10	0.000940291490362012
c4	CT1	353	0.033192289609779
c4	CT2	69	0.00648801128349788
c4	EN1	366	0.0344146685472497
c4	EN2	77	0.00724024447578749
c4	EN3	24	0.00225669957686883
c4	ET1	659	0.0619652092148566
c4	ET2	428	0.0402444757874941
c4	ET3	407	0.0382698636577339
c4	LB6	229	0.0215326751292901
c4	LN1	187	0.0175834508697696
c4	LN2	377	0.0354489891866479
c4	LN3	533	0.0501175364362953
c4	LN4	252	0.0236953455571227
c4	LN5	577	0.0542548189938881
c4	LN6	464	0.0436295251527974
c4	LT1	715	0.0672308415608839
c4	LT2	714	0.0671368124118477
c4	LT3	530	0.0498354489891866
c4	LT4	581	0.0546309355900329
c4	LT5	467	0.043911612599906
c4	LT6	774	0.0727785613540197
c4	RB1	76	0.00714621532675129
c4	RB2	107	0.0100611189468735
c4	RB3	114	0.0107193229901269
c4	RN1	217	0.0204043253408557
c4	RN2	414	0.0389280677009873
c4	RN3	180	0.0169252468265162
c4	RT1	181	0.0170192759755524
c4	RT2	231	0.0217207334273625
c4	RT3	198	0.0186177715091678
c5	CN1	42	0.00453465774130857
c5	CN2	6	0.000647808248758368
c5	CT1	69	0.00744979486072123
c5	CT2	18	0.0019434247462751
c5	EN1	531	0.0573310300151155
c5	EN2	175	0.0188944072554524
c5	EN3	43	0.0046426257827683
c5	ET1	648	0.0699632908659037
c5	ET2	756	0.0816238393435543
c5	ET3	418	0.0451306413301663
c5	LB6	8	0.000863744331677823
c5	LN1	571	0.0616497516735046
c5	LN2	521	0.0562513496005182
c5	LN3	839	0.0905851867847117
c5	LN4	624	0.0673720578708702
c5	LN5	146	0.0157633340531203
c5	LN6	747	0.0806521269704168
c5	LT1	246	0.0265601381990931
c5	LT2	319	0.0344418052256532
c5	LT3	224	0.0241848412869791
c5	LT4	659	0.0711509393219607
c5	LT5	59	0.00637011444612395
c5	LT6	111	0.0119844526020298
c5	RB1	46	0.00496652990714748
c5	RB2	124	0.0133880371410063
c5	RB3	66	0.00712589073634204
c5	RN1	150	0.0161952062189592
c5	RN2	127	0.0137119412653854
c5	RN3	350	0.0377888145109048
c5	RT1	221	0.0238609371625999
c5	RT2	87	0.00939321960699633
c5	RT3	311	0.0335780608939754
c6	CN1	89	0.00965502278151443
c6	CN2	13	0.00141028422651334
c6	CT1	218	0.0236493816446084
c6	CT2	65	0.00705142113256672
c6	EN1	272	0.0295074853547407
c6	EN2	67	0.00726838793664569
c6	EN3	9	0.000976350618355392
c6	ET1	577	0.0625949229767846
c6	ET2	344	0.0373182903015839
c6	ET3	319	0.0346062052505967
c6	LB6	260	0.0282056845302669
c6	LN1	264	0.0286396181384248
c6	LN2	446	0.0483835973096116
c6	LN3	495	0.0536992840095465
c6	LN4	206	0.0223475808201345
c6	LN5	222	0.0240833152527663
c6	LN6	587	0.0636797569971794
c6	LT1	455	0.049359947927967
c6	LT2	653	0.0708396615317856
c6	LT3	333	0.0361249728791495
c6	LT4	411	0.0445866782382296
c6	LT5	234	0.0253851160772402
c6	LT6	162	0.017574311130397
c6	RB1	106	0.0114992406161857
c6	RB2	208	0.0225645476242135
c6	RB3	229	0.0248426990670427
c6	RN1	261	0.0283141679323064
c6	RN2	404	0.0438272944239531
c6	RN3	185	0.0200694293773053
c6	RT1	504	0.0546756346279019
c6	RT2	474	0.0514211325667173
c6	RT3	146	0.0158385766977652
c7	CN1	98	0.0117675312199808
c7	CN2	13	0.00156099903938521
c7	CT1	202	0.0242555235350624
c7	CT2	45	0.00540345821325648
c7	EN1	454	0.0545148895292988
c7	EN2	89	0.0106868395773295
c7	EN3	22	0.0026416906820365
c7	ET1	600	0.0720461095100865
c7	ET2	355	0.0426272814601345
c7	ET3	315	0.0378242074927954
c7	LB6	95	0.0114073006724304
c7	LN1	273	0.0327809798270893
c7	LN2	379	0.0455091258405379
c7	LN3	573	0.0688040345821326
c7	LN4	315	0.0378242074927954
c7	LN5	194	0.0232949087415946
c7	LN6	501	0.0601585014409222
c7	LT1	442	0.053073967339097
c7	LT2	648	0.0778097982708934
c7	LT3	371	0.0445485110470701
c7	LT4	409	0.0491114313160423
c7	LT5	150	0.0180115273775216
c7	LT6	162	0.0194524495677233
c7	RB1	74	0.00888568683957733
c7	RB2	98	0.0117675312199808
c7	RB3	144	0.0172910662824208
c7	RN1	231	0.0277377521613833
c7	RN2	325	0.0390249759846302
c7	RN3	195	0.0234149855907781
c7	RT1	201	0.024135446685879
c7	RT2	253	0.0303794428434198
c7	RT3	102	0.0122478386167147
c8	CN1	150	0.0275178866263071
c8	CN2	6	0.00110071546505228
c8	CT1	200	0.0366905155017428
c8	CT2	28	0.00513667217024399
c8	EN1	163	0.0299027701339204
c8	EN2	32	0.00587048248027885
c8	EN3	8	0.00146762062006971
c8	ET1	371	0.0680609062557329
c8	ET2	200	0.0366905155017428
c8	ET3	160	0.0293524124013942
c8	LB6	333	0.0610897083104018
c8	LN1	119	0.021830856723537
c8	LN2	161	0.029535864978903
c8	LN3	336	0.0616400660429279
c8	LN4	133	0.024399192808659
c8	LN5	227	0.0416437350944781
c8	LN6	254	0.0465969546872134
c8	LT1	248	0.0454962392221611
c8	LT2	251	0.0460465969546872
c8	LT3	197	0.0361401577692167
c8	LT4	272	0.0498991010823702
c8	LT5	215	0.0394423041643735
c8	LT6	150	0.0275178866263071
c8	RB1	86	0.0157769216657494
c8	RB2	75	0.0137589433131535
c8	RB3	145	0.0266006237387635
c8	RN1	193	0.0354063474591818
c8	RN2	325	0.0596220876903321
c8	RN3	107	0.0196294257934324
c8	RT1	62	0.0113740598055403
c8	RT2	132	0.0242157402311502
c8	RT3	112	0.020546688680976
c9	CN1	129	0.0259088170315324
c9	CN2	34	0.00682868045792328
c9	CT1	137	0.0275155653745732
c9	CT2	76	0.0152641092588873
c9	EN1	199	0.0399678650331392
c9	EN2	61	0.0122514561156859
c9	EN3	13	0.00261096605744125
c9	ET1	206	0.0413737698332999
c9	ET2	158	0.0317332797750552
c9	ET3	118	0.0236995380598514
c9	LB6	203	0.0407712392046596
c9	LN1	176	0.035348463546897
c9	LN2	194	0.0389636473187387
c9	LN3	235	0.0471982325768227
c9	LN4	162	0.0325366539465756
c9	LN5	103	0.0206868849166499
c9	LN6	259	0.052018477605945
c9	LT1	249	0.050010042177144
c9	LT2	215	0.0431813617192207
c9	LT3	159	0.0319341233179353
c9	LT4	209	0.0419763004619401
c9	LT5	122	0.0245029122313718
c9	LT6	106	0.0212894155452902
c9	RB1	123	0.0247037557742519
c9	RB2	202	0.0405703956617795
c9	RB3	133	0.0267121912030528
c9	RN1	131	0.0263105041172926
c9	RN2	241	0.0484032938341032
c9	RN3	169	0.0339425587467363
c9	RT1	190	0.0381602731472183
c9	RT2	159	0.0319341233179353
c9	RT3	108	0.0216911026310504
c10	CN1	31	0.00633687653311529
c10	CN2	10	0.00204415372035977
c10	CT1	50	0.0102207686017989
c10	CT2	40	0.00817661488143908
c10	EN1	259	0.0529435813573181
c10	EN2	79	0.0161488143908422
c10	EN3	15	0.00306623058053966
c10	ET1	298	0.0609157808667212
c10	ET2	371	0.0758381030253475
c10	ET3	186	0.0380212591986917
c10	LB6	28	0.00572363041700736
c10	LN1	279	0.0570318887980376
c10	LN2	252	0.0515126737530662
c10	LN3	458	0.0936222403924775
c10	LN4	318	0.0650040883074407
c10	LN5	94	0.0192150449713818
c10	LN6	327	0.0668438266557645
c10	LT1	168	0.0343417825020442
c10	LT2	157	0.0320932134096484
c10	LT3	147	0.0300490596892886
c10	LT4	326	0.0666394112837285
c10	LT5	62	0.0126737530662306
c10	LT6	128	0.0261651676206051
c10	RB1	21	0.00429272281275552
c10	RB2	42	0.00858544562551104
c10	RB3	16	0.00327064595257563
c10	RN1	62	0.0126737530662306
c10	RN2	54	0.0110384300899428
c10	RN3	213	0.0435404742436631
c10	RT1	117	0.0239165985282093
c10	RT2	80	0.0163532297628782
c10	RT3	204	0.0417007358953393
c11	CN1	58	0.0142122028914482
c11	CN2	10	0.00245037980887038
c11	CT1	85	0.0208282283753982
c11	CT2	24	0.0058809115412889
c11	EN1	101	0.0247488360695908
c11	EN2	13	0.00318549375153149
c11	EN3	3	0.000735113942661112
c11	ET1	203	0.0497427101200686
c11	ET2	149	0.0365106591521686
c11	ET3	118	0.0289144817446704
c11	LB6	67	0.0164175447194315
c11	LN1	246	0.0602793432982112
c11	LN2	228	0.0558686596422446
c11	LN3	332	0.0813526096544964
c11	LN4	91	0.0222984562607204
c11	LN5	208	0.0509679000245038
c11	LN6	152	0.0372457730948297
c11	LT1	79	0.019358000490076
c11	LT2	206	0.0504778240627297
c11	LT3	212	0.051948051948052
c11	LT4	121	0.0296495956873315
c11	LT5	83	0.0203381524136241
c11	LT6	99	0.0242587601078167
c11	RB1	128	0.0313648615535408
c11	RB2	133	0.032590051457976
c11	RB3	167	0.0409213428081353
c11	RN1	149	0.0365106591521686
c11	RN2	77	0.0188679245283019
c11	RN3	103	0.0252389120313649
c11	RT1	178	0.0436167605978927
c11	RT2	167	0.0409213428081353
c11	RT3	91	0.0222984562607204
c12	CN1	49	0.0168384879725086
c12	CN2	11	0.00378006872852234
c12	CT1	41	0.0140893470790378
c12	CT2	59	0.0202749140893471
c12	EN1	76	0.0261168384879725
c12	EN2	22	0.00756013745704467
c12	EN3	4	0.0013745704467354
c12	ET1	111	0.0381443298969072
c12	ET2	112	0.0384879725085911
c12	ET3	84	0.0288659793814433
c12	LB6	29	0.00996563573883161
c12	LN1	216	0.0742268041237113
c12	LN2	257	0.0883161512027491
c12	LN3	197	0.0676975945017182
c12	LN4	77	0.0264604810996564
c12	LN5	63	0.0216494845360825
c12	LN6	230	0.0790378006872852
c12	LT1	149	0.0512027491408935
c12	LT2	258	0.088659793814433
c12	LT3	86	0.029553264604811
c12	LT4	90	0.0309278350515464
c12	LT5	40	0.013745704467354
c12	LT6	48	0.0164948453608247
c12	RB1	36	0.0123711340206186
c12	RB2	90	0.0309278350515464
c12	RB3	36	0.0123711340206186
c12	RN1	43	0.0147766323024055
c12	RN2	123	0.0422680412371134
c12	RN3	29	0.00996563573883161
c12	RT1	89	0.0305841924398625
c12	RT2	119	0.040893470790378
c12	RT3	36	0.0123711340206186
c13	CN1	212	0.102316602316602
c13	CN2	3	0.00144787644787645
c13	CT1	165	0.0796332046332046
c13	CT2	3	0.00144787644787645
c13	EN1	1	0.000482625482625483
c13	ET1	11	0.00530888030888031
c13	ET2	6	0.0028957528957529
c13	ET3	8	0.00386100386100386
c13	LB6	121	0.0583976833976834
c13	LN1	4	0.00193050193050193
c13	LN2	7	0.00337837837837838
c13	LN3	8	0.00386100386100386
c13	LN4	3	0.00144787644787645
c13	LN5	41	0.0197876447876448
c13	LN6	49	0.0236486486486486
c13	LT1	11	0.00530888030888031
c13	LT2	22	0.0106177606177606
c13	LT3	4	0.00193050193050193
c13	LT4	3	0.00144787644787645
c13	LT5	201	0.097007722007722
c13	LT6	99	0.0477799227799228
c13	RB1	199	0.096042471042471
c13	RB2	174	0.083976833976834
c13	RB3	31	0.01496138996139
c13	RN1	135	0.0651544401544401
c13	RN2	321	0.15492277992278
c13	RN3	94	0.0453667953667954
c13	RT1	37	0.0178571428571429
c13	RT2	51	0.0246138996138996
c13	RT3	48	0.0231660231660232
c14	CN1	23	0.0115461847389558
c14	CN2	6	0.00301204819277108
c14	CT1	27	0.0135542168674699
c14	CT2	19	0.00953815261044177
c14	EN1	99	0.0496987951807229
c14	EN2	27	0.0135542168674699
c14	EN3	5	0.00251004016064257
c14	ET1	168	0.0843373493975904
c14	ET2	104	0.0522088353413655
c14	ET3	72	0.036144578313253
c14	LB6	23	0.0115461847389558
c14	LN1	28	0.0140562248995984
c14	LN2	84	0.0421686746987952
c14	LN3	193	0.0968875502008032
c14	LN4	108	0.0542168674698795
c14	LN5	57	0.0286144578313253
c14	LN6	52	0.0261044176706827
c14	LT1	135	0.0677710843373494
c14	LT2	127	0.0637550200803213
c14	LT3	113	0.0567269076305221
c14	LT4	140	0.070281124497992
c14	LT5	32	0.0160642570281124
c14	LT6	76	0.0381526104417671
c14	RB1	20	0.0100401606425703
c14	RB2	40	0.0200803212851406
c14	RB3	9	0.00451807228915663
c14	RN1	20	0.0100401606425703
c14	RN2	23	0.0115461847389558
c14	RN3	60	0.0301204819277108
c14	RT1	29	0.0145582329317269
c14	RT2	9	0.00451807228915663
c14	RT3	64	0.0321285140562249
c15	CN2	1	0.00460829493087558
c15	CT1	1	0.00460829493087558
c15	CT2	3	0.0138248847926267
c15	EN1	15	0.0691244239631336
c15	EN2	11	0.0506912442396313
c15	ET1	21	0.0967741935483871
c15	ET2	38	0.175115207373272
c15	ET3	32	0.147465437788018
c15	LB6	1	0.00460829493087558
c15	LN1	5	0.0230414746543779
c15	LN2	7	0.032258064516129
c15	LN3	12	0.0552995391705069
c15	LN4	10	0.0460829493087558
c15	LN5	1	0.00460829493087558
c15	LN6	12	0.0552995391705069
c15	LT1	2	0.00921658986175115
c15	LT2	3	0.0138248847926267
c15	LT3	4	0.0184331797235023
c15	LT4	10	0.0460829493087558
c15	LT5	6	0.0276497695852535
c15	LT6	1	0.00460829493087558
c15	RB1	2	0.00921658986175115
c15	RB3	1	0.00460829493087558
c15	RN1	4	0.0184331797235023
c15	RN3	8	0.0368663594470046
c15	RT1	2	0.00921658986175115
c15	RT3	4	0.0184331797235023
c16	ET2	1	0.00952380952380952
c16	LB6	2	0.019047619047619
c16	LN2	4	0.0380952380952381
c16	LN5	2	0.019047619047619
c16	LN6	6	0.0571428571428571
c16	LT1	1	0.00952380952380952
c16	LT2	13	0.123809523809524
c16	LT3	1	0.00952380952380952
c16	RB1	13	0.123809523809524
c16	RB2	21	0.2
c16	RB3	3	0.0285714285714286
c16	RN1	1	0.00952380952380952
c16	RN3	4	0.0380952380952381
c16	RT1	23	0.219047619047619
c16	RT2	8	0.0761904761904762
c16	RT3	2	0.019047619047619
