p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.29291181674316	0.932	0.175	0	c18	GNLY
6.53604792718161e-85	0.660592002909836	0.992	0.855	1.26609784397435e-80	c18	RPS12
6.6718722800132e-83	0.733721891114332	0.972	0.75	1.29240837936136e-78	c18	RPL34
1.08000221897288e-78	0.708793387184624	0.967	0.778	2.09207229837237e-74	c18	RPS3
3.64355244050319e-75	0.628910144939321	0.977	0.793	7.05792543249872e-71	c18	RPL32
5.249753491454e-70	0.584337183758743	0.982	0.839	1.01692974882956e-65	c18	RPL13
8.97260565819312e-70	0.547612887627072	0.992	0.895	1.73808344204859e-65	c18	RPL10
2.12210511611007e-66	0.586998743762457	0.983	0.867	4.11072982041683e-62	c18	EEF1A1
4.20908290146934e-65	0.582584406420536	0.982	0.825	8.15341448843626e-61	c18	RPL30
1.6134488840788e-64	0.689463168625682	0.947	0.74	3.12541183334905e-60	c18	RPS18
3.09262942176635e-64	0.795587787586043	0.863	0.57	5.99073245290359e-60	c18	RPL3
3.58341231272898e-64	0.687523380068838	0.921	0.68	6.94142799098732e-60	c18	RPS23
4.90290112615178e-64	0.455848813759858	0.995	0.95	9.49740977146862e-60	c18	RPL41
2.17657314340853e-63	0.48879311278591	0.993	0.929	4.21623983609666e-59	c18	RPS27
2.87481780548758e-62	0.566126476955464	0.982	0.833	5.56880957100999e-58	c18	RPL39
9.04238127199198e-62	0.720016064914646	0.894	0.668	1.75159967619757e-57	c18	RPS14
1.02981672757941e-61	0.623650744601625	0.947	0.761	1.99485798299408e-57	c18	RPL19
1.079413229292e-61	0.538308584204602	0.985	0.851	2.09093136646153e-57	c18	RPS15A
3.07576912342438e-60	0.632337408964009	0.927	0.726	5.95807236898537e-56	c18	RPS4X
5.7358414278867e-59	0.61904050124369	0.946	0.749	1.11108984299593e-54	c18	RPS27A
2.94605975649557e-58	0.661420019458897	0.901	0.643	5.70681235430757e-54	c18	RPS3A
1.35650898997142e-53	0.608156909732428	0.962	0.784	2.62769356447364e-49	c18	RPS19
1.38257363698813e-52	0.690968380724419	0.878	0.657	2.67818339220971e-48	c18	RPL26
3.26148227346713e-52	0.620280973232183	0.891	0.682	6.31781731193317e-48	c18	RPS21
3.23206822799418e-49	0.533842601166754	0.969	0.769	6.26083936444753e-45	c18	RPL11
4.6431635575297e-48	1.01266448550285	0.543	0.277	8.99427212729079e-44	c18	IL7R
5.27966703323951e-47	0.575490366685779	0.941	0.715	1.02272430100883e-42	c18	RPL18A
1.2874745103834e-46	0.648515566194201	0.865	0.612	2.49396687406368e-42	c18	TPT1
2.11316285838386e-45	0.724217655890543	0.785	0.523	4.09340777297537e-41	c18	RPL6
4.5673925033057e-45	0.623499892805302	0.861	0.614	8.84749601815347e-41	c18	RPS7
5.63344085529277e-44	0.719442078283824	0.762	0.481	1.09125382807876e-39	c18	RPLP0
1.36280623408307e-43	0.653932857924271	0.827	0.588	2.63989195604231e-39	c18	RPL7A
1.73170224812251e-43	0.667937526334779	0.795	0.542	3.35448042483811e-39	c18	RPL14
1.41112293360033e-40	0.624791463517038	0.838	0.585	2.7334862346772e-36	c18	RPL29
2.61953195626364e-38	0.649977682223711	0.766	0.512	5.0742953524783e-34	c18	RPS6
7.9618558499808e-38	0.581858741899172	0.818	0.569	1.54229109669978e-33	c18	RPS13
1.52001106429739e-37	0.571731541068735	0.847	0.592	2.94441343265048e-33	c18	RPS25
5.8506940650449e-37	0.60203724774853	0.794	0.556	1.13333794733985e-32	c18	RPL18
5.67614026199997e-36	0.638956298095509	0.733	0.478	1.09952513015201e-31	c18	RPL5
3.54442706051748e-35	0.500443459526491	0.888	0.704	6.86590965892842e-31	c18	RPS15
4.54609777426057e-34	0.510985662949834	0.84	0.606	8.80624599852015e-30	c18	RPS8
6.83611390597388e-34	0.552019243520788	0.848	0.617	1.3242236247262e-29	c18	RPL36
9.24547451215871e-34	0.764999444884564	0.589	0.356	1.79094086775026e-29	c18	RPSA
4.89103338127877e-32	0.548256023557274	0.832	0.612	9.47442076287511e-28	c18	RPL35A
1.40842310586481e-29	0.511505222725075	0.818	0.603	2.72825639837072e-25	c18	RPL37
4.62251052852508e-29	0.639455887545175	0.649	0.426	8.95426514480593e-25	c18	RPL23A
1.26401712195457e-28	0.496403221554637	0.81	0.61	2.44852756693819e-24	c18	FAU
1.76628264732688e-28	0.48964788726228	0.838	0.638	3.4214661161369e-24	c18	RPL12
2.17706827315597e-27	0.560230072043604	0.69	0.452	4.21719895193042e-23	c18	RPS5
5.57471159350887e-27	0.612115046740522	0.642	0.429	1.0798773827786e-22	c18	RPL35
