Sample	passed	failed	total
CN1	30727	0	30727
CN2	30727	0	30727
CT1	30727	0	30727
CT2	30727	0	30727
EN1	30727	0	30727
EN2	30727	0	30727
EN3	30727	0	30727
ET1	30727	0	30727
ET2	30727	0	30727
ET3	30727	0	30727
LB6	30727	0	30727
LN1	30727	0	30727
LN2	30727	0	30727
LN3	30727	0	30727
LN4	30727	0	30727
LN5	30727	0	30727
LN6	30727	0	30727
LT1	30727	0	30727
LT2	30727	0	30727
LT3	30727	0	30727
LT4	30727	0	30727
LT5	30727	0	30727
LT6	30727	0	30727
RB1	30727	0	30727
RB2	30727	0	30727
RB3	30727	0	30727
RN1	30727	0	30727
RN2	30727	0	30727
RN3	30727	0	30727
RT1	30727	0	30727
RT2	30727	0	30727
RT3	30727	0	30727
Final_Features	30727	0	30727
